distancia,velocidade_relativa,permissao,pista,visibilidade,target
305.91,239.55,0.34,0.45,0.76,0
240.74,27.96,0.12,0.62,0.65,0
12.2,161.35,0.62,0.49,0.08,0
433.77,216.04,0.52,0.26,0.38,0
164.47,242.66,0.68,0.85,0.17,0
481.21,28.37,0.16,0.95,0.47,0
30.25,157.68,0.2,0.58,0.14,0
149.48,175.81,0.21,0.32,0.55,0
235.55,165.74,0.75,0.9,0.48,0
107.32,109.67,0.47,0.17,0.17,0
270.26,223.95,0.78,0.14,0.87,0
445.72,178.84,0.82,0.26,0.47,0
143.59,2.38,0.3,0.24,0.62,0
54.13,186.68,0.68,0.47,0.12,0
178.22,79.33,0.17,0.35,0.59,0
320.94,168.4,0.06,0.87,0.85,0
342.73,111.14,0.93,0.17,0.71,0
385.82,116.92,0.63,0.41,0.14,0
328.06,193.08,0.42,0.88,0.28,0
213.74,155.96,0.5,0.71,0.33,0
154.23,213.9,0.59,0.25,0.98,0
98.59,239.18,0.56,0.68,0.78,1
436.54,244.01,0.45,0.05,0.07,0
133.56,107.62,0.7,0.1,0.7,0
93.2,156.98,0.57,0.39,0.09,0
366.39,95.23,0.71,0.21,0.16,0
350.47,192.91,0.13,1.0,0.29,0
275.04,58.02,0.4,0.55,0.74,0
199.64,130.39,0.51,0.84,0.26,0
134.22,146.73,0.83,0.29,0.45,0
127.85,227.57,0.15,0.37,0.25,0
438.68,68.08,0.79,0.0,0.87,0
394.25,184.73,0.27,0.9,0.26,0
121.33,15.3,0.91,0.37,0.7,0
59.99,221.16,0.38,0.54,0.31,0
306.59,145.17,0.87,0.95,0.55,1
346.25,70.72,0.58,0.6,0.89,0
395.87,85.72,0.32,0.24,0.01,0
373.38,194.74,0.05,0.52,0.23,0
185.05,238.12,0.82,0.17,0.36,0
357.24,233.65,0.2,0.58,0.87,0
134.57,58.16,0.78,0.94,0.54,0
305.27,240.02,0.38,0.77,0.92,0
49.71,162.69,0.87,0.44,0.73,0
158.5,158.45,0.9,0.39,0.1,0
252.09,165.9,0.59,0.06,0.61,0
261.11,99.37,0.94,0.37,0.04,0
299.5,243.02,0.55,0.03,0.03,0
182.38,137.2,0.17,0.0,0.53,0
53.26,7.33,0.45,0.16,0.52,0
285.02,126.91,0.49,0.18,0.0,0
353.89,146.47,0.88,0.06,0.19,0
464.94,153.05,0.33,0.48,0.08,0
452.72,120.09,0.4,0.21,0.47,0
417.95,106.12,0.32,0.03,0.62,0
370.91,62.1,0.31,0.81,0.13,0
211.05,83.86,0.21,0.37,0.78,0
1.59,171.01,0.92,0.24,0.54,0
125.5,145.68,0.63,0.27,0.11,0
447.64,200.51,0.91,0.72,0.83,1
42.43,31.83,0.45,0.92,0.36,0
458.12,102.4,0.25,0.01,0.04,0
193.78,14.57,0.15,0.8,0.23,0
427.72,9.84,0.47,0.92,0.06,0
363.98,167.55,0.65,0.77,0.7,1
150.26,182.07,0.75,0.52,0.37,0
251.35,188.79,0.95,0.1,0.33,0
186.77,107.57,0.72,0.43,0.64,0
40.07,92.61,0.11,0.47,0.35,0
58.76,16.03,0.32,0.03,0.17,0
462.34,31.94,0.9,0.63,0.47,0
406.02,126.53,0.23,0.27,0.92,0
219.68,99.36,0.61,0.58,0.51,1
41.88,168.92,0.51,0.78,0.19,0
147.35,112.84,0.39,0.42,0.42,0
110.96,97.9,0.76,0.61,0.96,1
36.61,198.17,0.45,0.64,0.2,0
322.25,101.71,0.3,0.76,0.15,0
314.33,247.85,0.97,0.52,0.41,0
304.78,33.19,0.86,0.95,0.87,0
471.95,244.98,0.97,0.0,0.08,0
450.53,138.48,0.81,0.37,0.42,0
323.07,213.21,0.14,0.67,0.57,0
10.69,119.43,0.16,0.96,0.12,0
199.25,194.66,0.11,0.98,0.18,0
246.79,23.76,0.76,0.11,0.76,0
289.21,171.7,0.86,0.77,0.72,1
493.67,231.37,0.19,0.27,0.78,0
496.03,216.97,0.46,0.12,0.04,0
156.73,58.95,0.28,0.19,0.1,0
152.95,129.5,0.75,0.84,0.57,1
47.07,223.96,0.92,0.31,0.91,0
215.24,43.64,0.45,0.52,0.46,0
392.0,204.35,0.79,0.16,0.76,0
235.02,161.87,0.34,0.05,0.22,0
37.79,201.16,0.48,0.49,0.66,0
97.53,114.52,0.95,0.5,0.67,0
150.34,70.78,0.02,0.16,0.3,0
482.61,121.62,0.24,0.29,0.07,0
414.45,175.48,0.48,0.76,0.46,0
39.69,157.19,0.11,0.73,0.06,0
483.89,86.52,0.69,0.1,0.38,0
400.27,6.71,0.58,0.08,0.18,0
343.5,79.38,0.98,0.59,0.32,0
202.53,64.29,0.28,0.47,0.24,0
6.57,37.36,0.69,0.13,0.43,0
280.01,176.89,0.01,0.75,0.11,0
202.53,167.82,0.89,0.33,0.85,0
324.97,203.04,0.85,0.73,0.28,0
187.06,142.68,0.51,0.64,0.9,1
287.38,105.65,0.39,0.18,0.66,0
67.14,143.79,0.8,0.76,0.18,0
399.93,98.3,0.37,0.74,0.54,0
54.53,143.43,0.01,0.82,0.96,0
477.99,170.49,0.84,0.46,0.17,0
188.02,195.76,0.52,0.11,0.35,0
1.17,92.32,0.1,0.23,0.15,0
399.05,148.72,0.22,0.99,0.56,0
304.86,62.24,0.4,0.87,0.67,0
269.42,190.78,0.73,0.13,0.7,0
