distance,relative_speed,permission,road,visibility,target
41.17,55.64,0.31,0.02,0.73,0
46.68,41.49,0.36,0.2,0.88,0
20.11,9.53,0.92,0.12,0.41,0
39.0,38.67,0.84,0.15,0.17,0
4.24,20.43,0.99,0.65,0.26,0
43.23,14.59,0.68,0.59,0.35,0
32.08,23.9,0.82,0.84,0.92,0
44.55,55.45,0.49,0.15,0.33,0
5.1,45.8,0.29,0.47,0.48,0
4.98,28.54,0.59,0.66,0.85,0
12.91,15.05,0.24,0.65,0.47,0
27.05,48.72,0.19,0.9,0.54,0
43.73,33.58,0.27,0.66,0.6,0
9.59,41.16,0.74,0.19,0.02,0
28.73,38.29,0.77,0.15,0.69,0
20.11,35.46,0.79,0.16,0.07,0
33.02,41.04,0.02,0.85,0.4,0
34.41,53.3,0.58,0.9,0.33,0
49.31,20.78,0.45,0.21,0.76,0
24.18,40.11,0.69,0.27,0.04,0
41.67,45.77,0.27,0.1,0.82,0
19.46,35.81,0.15,0.83,0.11,0
9.88,40.98,0.2,0.97,0.02,0
2.32,36.94,0.87,0.08,0.67,0
31.78,8.63,0.55,0.85,0.17,0
2.53,17.53,0.22,0.63,0.07,0
16.92,49.49,0.34,0.84,0.25,0
41.07,42.44,0.1,0.45,0.03,0
1.78,10.19,0.41,0.37,0.63,0
9.34,49.98,0.32,0.31,0.97,0
3.93,52.74,0.91,0.47,0.52,0
41.47,45.6,0.2,0.69,0.24,0
22.31,30.79,0.28,0.41,0.17,0
32.94,29.01,0.97,0.51,0.64,0
4.5,54.1,0.26,0.63,0.75,0
34.44,20.85,0.68,0.56,0.78,0
44.73,42.83,0.02,0.54,0.86,0
42.27,23.21,0.87,0.1,0.11,0
37.23,5.93,0.85,0.4,0.07,0
21.9,4.65,0.37,0.24,0.75,0
48.67,37.83,0.78,0.33,0.19,0
32.26,34.1,0.24,0.41,0.48,0
6.8,14.81,0.18,0.4,0.74,0
33.82,40.99,0.52,0.38,0.51,0
6.06,20.08,0.15,0.75,0.63,0
36.97,39.73,0.06,0.17,0.21,0
37.64,33.54,0.52,0.0,0.06,0
30.19,32.01,0.78,0.83,0.13,0
27.62,31.38,0.36,0.97,0.66,0
14.46,44.6,0.88,0.17,0.17,0
20.49,49.24,0.36,0.13,0.57,0
1.16,53.76,0.99,0.73,0.22,0
2.57,55.37,0.67,0.55,0.6,1
27.04,22.59,0.95,0.82,0.99,1
47.55,46.82,0.7,0.72,0.65,1
24.42,33.73,0.53,0.64,0.5,1
1.72,36.89,0.69,0.77,0.61,1
21.48,27.2,0.62,0.71,0.67,1
3.01,33.49,0.89,0.62,0.65,1
11.64,30.37,0.85,0.56,0.66,1
1.71,49.48,0.94,0.87,0.51,1
18.34,52.58,0.51,0.75,0.79,1
11.72,49.0,0.86,0.5,0.66,1
16.51,43.49,0.54,0.51,0.74,1
14.51,42.98,0.54,0.83,0.54,1
16.41,35.56,0.77,0.77,0.83,1
46.89,52.09,0.93,0.67,0.84,1
6.49,52.89,0.5,0.85,1.0,1
3.36,32.34,0.81,0.54,0.56,1
47.12,44.3,0.96,0.94,0.87,1
40.39,54.28,0.65,0.5,0.98,1
26.59,15.86,0.74,0.8,0.62,1
25.85,21.58,0.77,0.99,0.66,1
35.13,46.68,0.61,0.83,0.7,1
27.73,27.09,0.99,0.73,0.91,1
19.34,50.0,0.95,0.64,0.58,1
11.81,50.35,0.85,0.59,0.52,1
39.2,46.73,0.86,0.78,0.76,1
1.58,37.75,0.8,0.96,0.58,1
15.67,44.43,0.74,0.79,0.89,1
14.01,39.97,0.95,0.89,0.54,1
16.9,55.68,0.68,0.86,0.76,1
6.9,48.38,0.99,0.61,0.53,1
8.87,32.01,0.96,0.74,0.56,1
10.21,38.38,0.56,0.74,0.55,1
36.21,40.77,0.81,0.95,0.9,1
20.61,36.0,0.69,0.85,0.74,1
43.57,43.16,0.83,0.96,0.51,1
30.47,50.65,0.75,0.75,0.66,1
10.44,54.18,0.99,0.54,0.94,1
2.0,50.4,0.74,0.58,0.66,1
41.7,41.01,0.97,0.55,0.9,1
17.94,32.16,0.81,0.92,0.79,1
24.16,21.76,0.97,0.73,0.87,1
6.51,53.65,0.89,0.53,0.7,1
11.81,50.02,0.55,0.62,0.95,1
20.49,15.75,0.52,0.82,0.81,1
19.89,47.25,0.73,0.7,0.79,1
13.05,53.75,0.85,0.75,0.65,1
29.33,28.51,0.64,0.57,0.78,1
22.44,20.19,0.86,0.51,0.63,1
24.9,29.72,0.76,0.95,0.53,1
44.9,44.97,0.86,0.73,0.73,1
37.39,50.55,0.68,0.5,0.79,1
