distance,relative_speed,permission,road,visibility,target
47.71,48.7,0.46,0.49,0.4,0
3.02,54.64,0.07,0.79,0.02,0
10.5,20.16,0.59,0.93,0.34,0
36.77,2.8,0.54,0.9,0.96,0
5.15,17.3,0.58,0.74,0.7,0
23.23,3.42,0.49,0.58,0.39,0
2.57,55.37,0.67,0.55,0.6,1
38.56,45.12,0.6,0.61,0.31,0
43.99,40.03,0.54,0.44,0.11,0
46.91,52.62,0.88,0.91,0.29,0
28.88,39.16,0.3,0.83,0.56,0
12.53,42.83,0.16,0.07,0.67,0
46.83,49.97,0.05,0.12,0.0,0
38.95,28.15,0.86,0.9,0.91,0
27.04,22.59,0.95,0.82,0.99,1
28.64,49.47,0.22,0.07,0.48,0
47.55,46.82,0.7,0.72,0.65,1
1.0,52.52,0.09,0.29,0.12,0
14.9,23.58,0.38,0.18,0.66,0
36.33,49.62,0.19,0.88,0.45,0
36.8,45.79,0.14,0.48,0.54,0
7.06,50.2,0.02,0.56,0.16,0
12.69,37.34,0.89,0.49,0.9,0
1.77,9.96,0.03,0.23,0.31,0
16.5,7.65,0.87,0.18,0.28,0
22.48,35.53,0.47,0.66,0.46,0
48.44,13.28,0.2,0.03,0.69,0
4.87,8.18,0.29,0.53,0.69,0
7.93,28.69,0.11,0.48,0.84,0
22.0,27.05,0.34,0.14,0.27,0
31.95,18.38,0.01,0.11,0.37,0
43.26,11.62,0.65,0.27,0.49,0
11.7,8.39,0.83,0.09,0.18,0
24.88,17.67,0.66,0.87,0.4,0
24.42,33.73,0.53,0.64,0.5,1
2.25,17.22,0.42,0.04,0.13,0
38.07,16.21,0.48,0.77,0.81,0
45.49,35.42,0.06,0.61,0.53,0
33.43,49.4,0.15,0.54,0.31,0
20.11,25.18,0.3,0.03,0.64,0
46.37,36.82,0.62,0.64,0.48,0
45.72,20.19,0.33,0.79,0.01,0
39.09,49.63,0.56,0.39,0.56,0
6.06,20.08,0.15,0.75,0.63,0
31.52,28.94,0.32,0.67,0.33,0
27.81,12.46,0.36,0.37,0.59,0
28.55,19.29,0.88,0.67,0.28,0
46.11,36.44,0.58,0.69,0.49,0
7.49,16.77,0.97,0.64,0.06,0
14.79,52.47,0.42,0.11,0.09,0
17.75,10.01,0.33,0.15,0.34,0
11.98,3.73,0.89,0.22,0.42,0
9.03,46.62,0.31,0.33,0.3,0
39.65,36.97,0.05,0.47,0.88,0
1.4,9.45,0.3,0.26,0.5,0
19.49,19.95,0.27,0.83,0.21,0
32.32,43.59,0.95,0.76,0.41,0
19.15,45.49,0.41,0.15,0.91,0
42.76,13.41,0.77,0.75,0.85,0
4.38,22.22,0.75,0.43,0.36,0
1.72,36.89,0.69,0.77,0.61,1
19.15,39.52,0.19,0.34,0.03,0
4.91,3.05,0.92,0.74,0.38,0
21.48,27.2,0.62,0.71,0.67,1
44.81,23.1,0.17,0.33,0.47,0
28.34,44.47,0.41,0.85,0.78,0
49.15,2.54,0.58,0.13,0.84,0
48.85,43.26,0.71,0.21,0.1,0
27.44,42.06,1.0,0.51,0.07,0
29.8,17.36,0.27,0.16,0.01,0
33.92,30.35,0.78,0.25,0.65,0
3.01,33.49,0.89,0.62,0.65,1
31.97,8.15,0.12,0.26,0.66,0
40.26,17.95,0.48,0.69,0.2,0
28.63,17.68,0.51,0.34,0.43,0
45.01,23.25,0.22,0.09,1.0,0
21.55,17.21,0.55,0.18,0.64,0
46.94,17.91,0.68,0.38,0.19,0
28.88,38.41,0.24,0.0,0.5,0
11.64,30.37,0.85,0.56,0.66,1
14.42,11.15,0.57,0.95,0.78,0
22.02,52.88,0.13,0.27,0.74,0
37.94,54.29,0.68,0.92,0.23,0
27.86,10.32,0.82,0.08,0.95,0
16.46,35.71,0.48,0.56,0.4,0
15.7,40.27,0.55,0.43,0.93,0
26.45,5.3,0.08,0.33,0.7,0
6.61,18.13,0.12,0.59,0.88,0
18.13,10.2,0.49,0.95,0.5,0
29.99,26.62,0.6,0.37,0.56,0
29.6,1.07,0.45,0.91,0.26,0
45.28,1.9,0.08,0.32,0.83,0
33.94,36.02,0.49,0.19,0.61,0
2.86,27.75,0.65,0.78,0.9,0
33.58,35.01,0.15,0.33,0.17,0
43.17,42.53,0.87,0.46,0.36,0
5.64,16.71,0.63,0.58,0.75,0
3.35,19.37,0.44,0.53,0.74,0
9.56,26.71,0.47,0.66,0.43,0
47.89,23.81,0.79,0.4,0.21,0
8.82,49.61,0.63,0.59,0.31,0
12.51,50.42,0.9,0.26,0.88,0
18.87,4.1,0.7,0.9,0.22,0
41.82,29.36,0.55,0.84,0.16,0
36.6,37.17,0.88,0.14,0.97,0
40.59,18.21,0.09,0.13,0.68,0
12.76,23.4,0.47,0.94,0.54,0
29.99,2.95,0.6,0.61,1.0,0
16.74,24.52,0.2,0.96,0.24,0
43.73,33.58,0.27,0.66,0.6,0
47.28,14.43,0.38,0.87,0.43,0
22.31,30.79,0.28,0.41,0.17,0
34.33,9.47,0.17,0.48,0.35,0
32.67,5.02,0.06,0.21,0.15,0
33.55,38.44,0.63,0.37,0.43,0
41.85,9.02,0.64,0.17,0.17,0
30.35,46.53,0.44,0.24,0.98,0
38.51,7.61,0.8,0.52,0.62,0
27.81,49.44,0.97,0.05,0.6,0
16.18,6.43,0.93,0.31,0.99,0
30.89,19.6,0.44,0.19,0.83,0
43.08,35.73,0.84,0.48,0.02,0
42.55,55.31,0.75,0.38,0.74,0
2.76,28.17,0.75,0.33,0.23,0
36.43,8.41,0.87,0.26,0.02,0
44.16,37.9,0.04,0.28,0.22,0
17.52,54.94,0.38,0.92,0.24,0
40.26,50.25,0.49,0.68,0.26,0
28.73,38.29,0.77,0.15,0.69,0
22.36,42.89,0.72,0.16,0.82,0
9.34,49.98,0.32,0.31,0.97,0
23.58,1.09,0.57,0.27,1.0,0
1.71,49.48,0.94,0.87,0.51,1
33.29,17.47,0.15,0.36,0.58,0
45.56,55.28,0.84,0.41,0.51,0
48.41,17.04,0.4,0.46,0.54,0
46.72,1.63,0.36,0.95,0.47,0
10.19,15.02,0.62,0.71,0.65,0
41.93,3.21,0.13,0.13,0.12,0
8.3,6.96,0.57,0.68,0.65,0
27.83,28.25,0.71,0.46,0.38,0
3.35,49.01,0.38,0.28,0.9,0
6.69,7.81,0.26,0.58,0.14,0
29.68,39.56,0.16,0.69,0.43,0
31.18,40.88,0.31,0.09,0.69,0
17.14,24.77,0.31,0.11,0.43,0
3.5,11.83,0.29,0.91,0.99,0
10.21,45.15,0.44,0.47,0.06,0
37.28,40.25,0.38,0.37,0.92,0
41.47,45.6,0.2,0.69,0.24,0
14.21,39.97,0.03,0.2,0.77,0
4.6,37.15,0.1,0.74,0.47,0
4.48,7.99,0.18,0.22,0.29,0
